Address,Price,Details,Images
"STEELWORKS | 1220 Mecaslin St NW, Atlanta, GA",as per size in the details,"['$1,288+ 1 bd', '$2,025+ 2 bds', '$2,934+ 3 bds']",https://photos.zillowstatic.com/p_e/ISmywqsyv414bj0000000000.jpg
"853 Ponce De Leon Pl NE, Atlanta, GA 30306","$3,600/mo","['3 bds', '2 ba', '1,900 sqft']",NA
"Avana Lenox | 925 Canterbury Rd NE, Atlanta, GA",as per size in the details,"['$1,171+ 1 bd', '$1,488+ 2 bds', '$2,087+ 3 bds']",https://photos.zillowstatic.com/p_e/IS7m4snc19vqt30000000000.jpg
"32Hundred Lenox | 3200 Lenox Rd NE, Atlanta, GA",as per size in the details,"['$1,219+ 1 bd', '$1,499+ 2 bds', '$2,099+ 3 bds']",https://photos.zillowstatic.com/p_e/ISbxvbjhnbss1t1000000000.jpg
"The Aster Buckhead | 2900 Pharr Ct S, Atlanta, GA",as per size in the details,"['$1,320+ 1 bd', '$1,541+ 2 bds']",https://photos.zillowstatic.com/p_e/IS3z7s6geu5z4w0000000000.jpg
"Camden Phipps | 700 Phipps Blvd NE, Atlanta, GA",as per size in the details,"['$1,329+ 1 bd', '$1,749+ 2 bds', '$3,259 3 bds']",https://photos.zillowstatic.com/p_e/IS37ajzgshj5qh1000000000.jpg
"252 Sydney St SE, Atlanta, GA 30312","$3,450/mo","['4 bds', '2 ba', '2,150 sqft']",https://photos.zillowstatic.com/p_e/IS3bt0dvyzt49w0000000000.jpg
"Aspire Westside | 900 Joseph E Lowery Blvd NW, Atlanta, GA",as per size in the details,"['$1,345+ Studio', '$1,520+ 1 bd', '$1,960+ 2 bds']",https://photos.zillowstatic.com/p_e/ISj3ecn15hxalr0000000000.jpg
"Generation | 369 Centennial Olympic Park Dr NW, Atlanta, GA",as per size in the details,"['$1,425 Studio', '$1,510+ 1 bd', '$2,425+ 2 bds']",https://photos.zillowstatic.com/p_e/ISjvzjttrvplbr0000000000.jpg
"Camden Brookwood | 147 26th St NW, Atlanta, GA",as per size in the details,"['$1,229+ Studio', '$1,289+ 1 bd', '$1,839+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Camden Midtown Atlanta | 265 Ponce De Leon Ave NE, Atlanta, GA",as per size in the details,"['$1,259+ Studio', '$1,389+ 1 bd', '$1,949+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"The Sutton | 2965 Peachtree Rd NW, Atlanta, GA",as per size in the details,"['$4,010+ 2 bds', '$5,325+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Savannah Midtown | 215 North Ave NE, Atlanta, GA",as per size in the details,"['$1,210+ 1 bd', '$1,790+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"516 Fairlane Cir NW, Atlanta, GA 30331","$1,200/mo","['4 bds', '2 ba', '1,065 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Windsor at Midtown | 222 14th St NE, Atlanta, GA",as per size in the details,"['$1,595+ 1 bd', '$2,160+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Uptown Buckhead | 3707 Roswell Rd NE, Atlanta, GA",as per size in the details,"['$1,135+ 1 bd', '$1,560 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Camden Vantage | 180 Jackson St NE, Atlanta, GA",as per size in the details,"['$1,269+ 1 bd', '$1,679+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"AMLI Buckhead | 3450 Roxboro Rd NE, Atlanta, GA",as per size in the details,"['$1,452+ 1 bd', '$2,119+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"AMLI Lenox | 3478 Lakeside Dr NE, Atlanta, GA",as per size in the details,"['$1,806+ 1 bd', '$2,448+ 2 bds', '$3,894+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"AMLI Parkside | 660 Ralph Mcgill Blvd NE, Atlanta, GA",as per size in the details,"['$1,405+ Studio', '$1,525+ 1 bd', '$1,969+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"851 Cardova Dr NE, Atlanta, GA 30324","$2,400/mo","['3 bds', '2 ba', '1,800 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"789 Barnett St NE, Atlanta, GA",as per size in the details,"['$1,500 Studio', '$3,600 4 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"824 Edgewood Ave NE, Atlanta, GA 30307","$1,500/mo","['1 bd', '1 ba', '1,000 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"The Exchange | 470 16th St NW, Atlanta, GA",as per size in the details,"['$1,302+ 1 bd', '$1,553+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"850 Flat Shoals Way SE, Atlanta, GA 30316","$1,650/mo","['2 bds', '1 ba', '1,050 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"2059 Howell Mill Rd NW, Atlanta, GA 30318","$4,200/mo","['4 bds', '3.5 ba', '2,697 sqft']",NA
"Piedmont House | 205 12th St NE, Atlanta, GA",as per size in the details,"['$2,449+ 1 bd', '$3,182+ 2 bds', '$7,596+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Berkeley Heights | 1700 Northside Dr NW, Atlanta, GA",as per size in the details,"['$1,195+ Studio', '$1,190+ 1 bd', '$1,555+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Hanover Buckhead Village | 3150 Roswell Rd NW, Atlanta, GA",as per size in the details,"['$1,654+ Studio', '$1,659+ 1 bd', '$2,027+ 2 bds', '$6,851+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"1045 on The Park | 1045 Piedmont Ave NE, Atlanta, GA",as per size in the details,"['$1,890 1 bd', '$2,192+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Gramercy At Buckhead | 3315 Roswell Rd, Atlanta, GA",as per size in the details,"['$1,205+ 1 bd', '$1,520+ 2 bds', '$1,945+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"The Haynes House | 2420 Peachtree Rd NW, Atlanta, GA",as per size in the details,"['$1,367+ Studio', '$1,342+ 1 bd', '$2,185+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Ascent Midtown | 1400 W Peachtree St NW, Atlanta, GA",as per size in the details,"['$1,765+ Studio', '$2,095+ 1 bd', '$2,209+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Allure at Brookwood | 40 Peachtree Valley Rd NE, Atlanta, GA",as per size in the details,"['$1,148+ Studio', '$1,158+ 1 bd', '$1,503+ 2 bds', '$2,153 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Post Riverside | 4403 Northside Pkwy, Atlanta, GA",as per size in the details,"['$1,190+ Studio', '$1,195+ 1 bd', '$1,610+ 2 bds', '$2,225+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Post Peachtree Hills | 350 Peachtree Hills Ave NE, Atlanta, GA",as per size in the details,"['$1,165+ 1 bd', '$1,490+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"The Ashley Gables Buckhead | 530 E Paces Ferry Rd NE, Atlanta, GA",as per size in the details,"['$1,571+ Studio', '$1,721+ 1 bd', '$2,509+ 2 bds', '$4,295+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"The Point At Westside | 370 Northside Dr NW, Atlanta, GA",as per size in the details,"['$1,190+ 1 bd', '$1,427+ 2 bds', '$1,625+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Peachtree St NE, Atlanta, GA 30308","$2,400/mo","['2 bds', '2 ba', '1,200 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Platform Apartments | 290 Martin Luther King Jr Dr SE, Atlanta, GA",as per size in the details,"['$1,235+ Studio', '$1,340+ 1 bd', '$1,835+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Platform Apartments | 290 Martin Luther King Jr Dr SE, Atlanta, GA",as per size in the details,"['$1,235+ Studio', '$1,340+ 1 bd', '$1,835+ 2 bds']",https://photos.zillowstatic.com/p_e/ISappdujfvnw9r1000000000.jpg
"Cyan On Peachtree | 3380 Peachtree Rd NE, Atlanta, GA",as per size in the details,"['$1,369+ Studio', '$1,509+ 1 bd', '$1,701+ 2 bds', '$3,252 3 bds']",https://photos.zillowstatic.com/p_e/ISn67wd5bqitng0000000000.jpg
"2564 Defoors Ferry Rd NW, Atlanta, GA 30318","$1,800/mo","['3 bds', '1.5 ba', '1,125 sqft']",https://photos.zillowstatic.com/p_e/ISrxuvbdpetcm80000000000.jpg
"05 Buckhead | 3242 Peachtree Rd NE, Atlanta, GA",as per size in the details,"['$1,490+ Studio', '$1,877+ 1 bd', '$2,347+ 2 bds', '$4,225+ 3 bds']",https://photos.zillowstatic.com/p_e/ISr5hyik9b9k7i0000000000.jpg
"Camden Paces | 77 E Andrews Dr NW, Atlanta, GA",as per size in the details,"['$1,299+ 1 bd', '$2,169+ 2 bds', '$4,269+ 3 bds']",https://photos.zillowstatic.com/p_e/ISybrc4h49j1130000000000.jpg
"Cumberland Rd NE, Atlanta, GA 30306","$6,500/mo","['3 bds', '4 ba', '3,913 sqft']",https://photos.zillowstatic.com/p_e/IS3zrbrkhnrtm61000000000.jpg
"Ayla | 44 Krog St NE, Atlanta, GA",as per size in the details,"['$1,455+ Studio', '$1,626+ 1 bd', '$2,287+ 2 bds']",https://photos.zillowstatic.com/p_e/IS3rdbfh1swvfg1000000000.jpg
"Glenwood at Grant Park | 860 Glenwood Ave SE, Atlanta, GA",as per size in the details,"['$1,325+ Studio', '$1,460+ 1 bd', '$1,910+ 2 bds']",https://photos.zillowstatic.com/p_e/ISmigv4lamfrne1000000000.jpg
"The Irby | 65 Irby Ave, Atlanta, GA",as per size in the details,"['$1,545+ Studio', '$1,660+ 1 bd', '$2,930+ 2 bds']",https://photos.zillowstatic.com/p_e/ISbhnq0tbl3bv41000000000.jpg
"Gables Midtown | 1925 Monroe Dr NE, Atlanta, GA",as per size in the details,"['$1,290+ 1 bd', '$1,590+ 2 bds', '$2,822 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Gables 820 West | 820 W Marietta St NW, Atlanta, GA",as per size in the details,"['$1,135+ 1 bd', '$1,435+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Camden Fourth Ward | 477 Wilmer St NE, Atlanta, GA",as per size in the details,"['$1,329+ 1 bd', '$2,349+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"2460 Peachtree at Peachtree Battle | 2460 Peachtree Rd NW, Atlanta, GA",as per size in the details,"['$1,465+ 1 bd', '$1,600+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"1144 Regis Rd SE, Atlanta, GA 30315","$1,150/mo","['3 bds', '1 ba', '1,430 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"267 Ralph David Abernathy Blvd SW, Atlanta, GA 30312","$1,550/mo","['3 bds', '2.5 ba', '1,600 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"639 Cassanova St SE, Atlanta, GA 30315","$1,550/mo","['3 bds', '2 ba', '1,300 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Post Parkside Atlanta | 250 10th St NE, Atlanta, GA",as per size in the details,"['$1,220+ Studio', '$1,540+ 1 bd', '$1,955+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"865 Fox St NW #1, Atlanta, GA 30318","$1,180/mo","['2 bds', '1 ba', '-- sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"61 Weatherby St SE, Atlanta, GA 30316","$3,950/mo","['4 bds', '3 ba', '2,390 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"West Inman Lofts | 626 Dekalb Ave SE, Atlanta, GA",as per size in the details,"['$1,293+ 1 bd', '$1,781+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"77 12th Street | 77 12th St NE, Atlanta, GA",as per size in the details,"['$1,548+ Studio', '$1,635+ 1 bd', '$2,599+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"AMLI Arts Center | 1240 W Peachtree St NW, Atlanta, GA",as per size in the details,"['$1,824+ Studio', '$1,891+ 1 bd', '$2,404+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"CB Lofts | 2430 Cheshire Bridge Rd NE, Atlanta, GA",as per size in the details,"['$1,076+ 1 bd', '$1,523+ 2 bds', '$1,713 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"430 Lindbergh Dr NE APT G3, Atlanta, GA 30305","$1,750/mo","['2 bds', '1.5 ba', '1,188 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Post Stratford | 3400 Stratford Rd NE, Atlanta, GA",as per size in the details,"['$1,215+ Studio', '$1,265+ 1 bd', '$1,595+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Inman Quarter Residences | 299 N Highland Ave NE, Atlanta, GA",as per size in the details,"['$1,590+ Studio', '$1,879+ 1 bd', '$2,395+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"The George & The Leonard | 275 Memorial Dr SE, Atlanta, GA",as per size in the details,"['$1,194+ 1 bd', '$1,555+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Hanover West Peachtree | 1010 W Peachtree St NW, Atlanta, GA",as per size in the details,"['$1,348+ 1 bd', '$1,749+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"1837 Volberg St NW, Atlanta, GA 30318","$1,695/mo","['1 bd', '1 ba', '650 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Post Gardens | 1020 Lenox Park Blvd NE, Atlanta, GA",as per size in the details,"['$1,115+ 1 bd', '$1,340+ 2 bds', '$1,725+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"95 Vine St NW, Atlanta, GA 30314","$1,100/mo","['3 bds', '1 ba', '1,100 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"The Rocca | 3280 Northside Pkwy NW, Atlanta, GA",as per size in the details,"['$1,320+ Studio', '$1,215+ 1 bd', '$1,784+ 2 bds', '$2,710+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Highland View Apartments | 784 Ponce De Leon Ter NE, Atlanta, GA",as per size in the details,"['$1,225+ Studio', '$1,525+ 1 bd', '$1,725+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Lumen Grant Park | 465 Memorial Dr SE, Atlanta, GA",as per size in the details,"['$1,216+ Studio', '$1,486+ 1 bd', '$2,144+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"620 Glen Iris Dr NE, Atlanta, GA",as per size in the details,"['$1,400+ 1 bd', '$3,850 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Residences at Chastain | 4011 Roswell Rd NE, Atlanta, GA",as per size in the details,"['$1,323+ 1 bd', '$2,061+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"The Monroe | 222 Colonial Homes Dr NW, Atlanta, GA",as per size in the details,"['$1,495+ 1 bd', '$1,990+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"1824 Defoor | 1824 Defoor Ave NW, Atlanta, GA",as per size in the details,"['$1,460+ 1 bd', '$1,795+ 2 bds', '$2,785+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
